x;absoluteError;relativeError;computation time (milliseconds)
0,1495;0;0;0
0,199;1,11022302462516E-16;0;0
0,2485;0;0;0
0,298;0;0;0
0,3475;5,55111512312578E-17;0;0
0,397;0;0;0
0,4465;5,55111512312578E-17;0;0
0,496;5,55111512312578E-17;0;0
0,5455;2,77555756156289E-17;0;0
0,595;0;0;0
0,6445;0;0;0
0,694;1,2490009027033E-16;0;0
0,7435;1,2490009027033E-16;0;0
0,793;0;0;0
0,8425;9,0205620750794E-17;0;0
0,892;2,77555756156289E-17;0;0
0,9415;0;0;0
0,991;5,55111512312578E-17;0;0
1,0405;8,32667268468867E-17;0;0
1,09;1,11022302462516E-16;0;0
1,1395;1,11022302462516E-16;0;0
1,189;1,11022302462516E-16;0;0
1,2385;1,11022302462516E-16;0;0
1,288;1,66533453693773E-16;0;0
1,3375;1,66533453693773E-16;0;0
1,387;2,22044604925031E-16;0;0
1,4365;1,11022302462516E-16;0;0
1,486;2,22044604925031E-16;0;0
1,5355;2,22044604925031E-16;0;0
1,585;0;0;0
1,6345;0;0;0
1,684;1,11022302462516E-16;0;0
1,7335;2,22044604925031E-16;0;0
1,783;1,11022302462516E-16;0;0
1,8325;0;0;0
1,882;2,22044604925031E-16;0;0
1,9315;0;0;0
1,981;2,22044604925031E-16;0;0
2,0305;0;0;0
2,08;1,11022302462516E-16;0;0
2,1295;1,11022302462516E-16;0;0
2,179;2,22044604925031E-16;0;0
2,2285;2,22044604925031E-16;0;0
2,278;1,11022302462516E-16;0;0
2,3275;1,11022302462516E-16;0;0
2,377;1,11022302462516E-16;0;0
2,4265;1,11022302462516E-16;0;0
2,476;1,11022302462516E-16;0;0
2,5255;3,33066907387547E-16;0;0
2,575;1,11022302462516E-16;0;0
2,6245;1,11022302462516E-16;0;0
2,674;0;0;0
2,7235;1,11022302462516E-16;0;0
2,773;1,11022302462516E-16;0;0
2,8225;1,11022302462516E-16;0;0
2,872;1,11022302462516E-16;0;0
2,9215;2,22044604925031E-16;0;0
2,971;1,11022302462516E-16;0;0
3,0205;1,11022302462516E-16;0;0
3,07;3,33066907387547E-16;0;0
3,1195;1,11022302462516E-16;0;0
3,169;2,22044604925031E-16;0;0
3,2185;0;0;0
3,268;1,11022302462516E-16;0;0
3,3175;4,44089209850063E-16;0;0
3,367;3,33066907387547E-16;0;0
3,4165;1,11022302462516E-16;0;0
3,466;3,33066907387547E-16;0;0
3,5155;1,11022302462516E-16;0;0
