x;absoluteError;relativeError;result
-49,9;7,105427357601E-15;1,42393333819659E-16;-49,9
-49,8;0;0;-49,8
-49,7;1,4210854715202E-14;2,8593269044672E-16;-49,7
-49,6;4,2632564145606E-14;8,59527502935606E-16;-49,6
-49,5;4,2632564145606E-14;8,61263922133456E-16;-49,5
-49,4;2,1316282072803E-14;4,31503685684271E-16;-49,4
-49,3;2,8421709430404E-14;5,76505262280001E-16;-49,3
-49,2;7,105427357601E-15;1,44419255235793E-16;-49,2
-49,1;7,105427357601E-15;1,44713388138513E-16;-49,1
-49;2,1316282072803E-14;4,35026164751082E-16;-49
-48,9;0;0;-48,9
-48,8;7,105427357601E-15;1,45603019622971E-16;-48,8
-48,7;4,2632564145606E-14;8,75411994776305E-16;-48,6999999999999
-48,6;7,105427357601E-15;1,46202209004136E-16;-48,6
-48,5;1,4210854715202E-14;2,93007313715505E-16;-48,5
-48,4;3,5527136788005E-14;7,34031751818286E-16;-48,3999999999999
-48,3;7,105427357601E-15;1,4711029725882E-16;-48,3
-48,2;1,4210854715202E-14;2,94831010688838E-16;-48,2
-48,1;7,105427357601E-15;1,47721982486507E-16;-48,1
-48;7,105427357601E-15;1,48029736616688E-16;-48
-47,9;0;0;-47,9
-47,8;3,5527136788005E-14;7,43245539498014E-16;-47,7999999999999
-47,7;7,105427357601E-15;1,48960741249497E-16;-47,7
-47,6;1,4210854715202E-14;2,98547367966429E-16;-47,6
-47,5;3,5527136788005E-14;7,47939721852738E-16;-47,4999999999999
-47,4;2,8421709430404E-14;5,99614123004305E-16;-47,3999999999999
-47,3;2,1316282072803E-14;4,50661354604715E-16;-47,2999999999999
-47,2;1,4210854715202E-14;3,01077430406822E-16;-47,1999999999999
-47,1;2,8421709430404E-14;6,03433321240001E-16;-47,0999999999999
-47;7,105427357601E-15;1,51179305480873E-16;-47
-46,9;0;0;-46,9
-46,8;4,2632564145606E-14;9,10952225333463E-16;-46,7999999999999
-46,7;1,4210854715202E-14;3,04300957498972E-16;-46,7
-46,6;1,4210854715202E-14;3,04953963845537E-16;-46,6
-46,5;1,4210854715202E-14;3,05609778821549E-16;-46,5
-46,3999999999999;7,105427357601E-15;1,53134210293125E-16;-46,3999999999999
-46,2999999999999;2,1316282072803E-14;4,60394861183651E-16;-46,2999999999999
-46,1999999999999;2,1316282072803E-14;4,61391386857209E-16;-46,1999999999999
-46,0999999999999;2,1316282072803E-14;4,62392235852561E-16;-46,0999999999999
-45,9999999999999;0;0;-45,9999999999999
-45,8999999999999;7,105427357601E-15;1,54802338945556E-16;-45,8999999999999
-45,7999999999999;2,1316282072803E-14;4,65421005956398E-16;-45,8
-45,6999999999999;2,8421709430404E-14;6,21919243553699E-16;-45,6999999999999
-45,5999999999999;7,105427357601E-15;1,55820775385987E-16;-45,5999999999999
-45,4999999999999;2,1316282072803E-14;4,68489715885781E-16;-45,4999999999999
-45,3999999999999;2,8421709430404E-14;6,26028842079385E-16;-45,3999999999999
-45,2999999999999;2,1316282072803E-14;4,70558103152385E-16;-45,2999999999999
-45,1999999999999;7,105427357601E-15;1,57199720300907E-16;-45,1999999999999
-45,0999999999999;3,5527136788005E-14;7,87741392195235E-16;-45,0999999999999
-44,9999999999999;2,1316282072803E-14;4,73695157173401E-16;-44,9999999999999
-44,8999999999999;1,4210854715202E-14;3,16500105015635E-16;-44,8999999999999
-44,7999999999999;7,105427357601E-15;1,58603289232165E-16;-44,7999999999999
-44,6999999999999;2,8421709430404E-14;6,35832425736109E-16;-44,6999999999999
-44,5999999999999;3,5527136788005E-14;7,96572573722087E-16;-44,5999999999999
-44,4999999999999;3,5527136788005E-14;7,98362624449553E-16;-44,4999999999999
-44,3999999999999;0;0;-44,3999999999999
-44,2999999999999;7,105427357601E-15;1,60393394076772E-16;-44,2999999999999
-44,1999999999999;2,1316282072803E-14;4,82268825176539E-16;-44,1999999999999
-44,0999999999999;2,8421709430404E-14;6,44483207038641E-16;-44,0999999999999
-43,9999999999999;2,1316282072803E-14;4,84460956200069E-16;-43,9999999999999
-43,8999999999999;1,4210854715202E-14;3,23709674605969E-16;-43,8999999999999
-43,7999999999999;7,105427357601E-15;1,62224368895E-16;-43,7999999999999
-43,6999999999999;1,4210854715202E-14;3,25191183414234E-16;-43,6999999999999
-43,5999999999999;1,4210854715202E-14;3,2593703475234E-16;-43,5999999999999
-43,4999999999999;3,5527136788005E-14;8,16715788230003E-16;-43,4999999999999
-43,3999999999999;3,5527136788005E-14;8,18597621843436E-16;-43,3999999999999
-43,2999999999999;1,4210854715202E-14;3,28195259011594E-16;-43,2999999999999
-43,1999999999999;1,4210854715202E-14;3,28954970259306E-16;-43,1999999999999
-43,0999999999999;1,4210854715202E-14;3,29718206849235E-16;-43,0999999999999
-42,9999999999999;2,8421709430404E-14;6,60969986753584E-16;-42,9999999999999
-42,8999999999999;3,5527136788005E-14;8,28138386666786E-16;-42,8999999999999
-42,7999999999999;2,1316282072803E-14;4,98043973663623E-16;-42,7999999999999
-42,6999999999999;3,5527136788005E-14;8,3201725498841E-16;-42,6999999999999
-42,5999999999999;0;0;-42,5999999999999
-42,4999999999999;3,5527136788005E-14;8,35932630306003E-16;-42,4999999999999
-42,3999999999999;2,1316282072803E-14;5,02742501717053E-16;-42,3999999999999
-42,2999999999999;2,1316282072803E-14;5,03931018269576E-16;-42,2999999999999
-42,1999999999999;0;0;-42,1999999999999
-42,0999999999999;1,4210854715202E-14;3,37549993235203E-16;-42,0999999999999
-41,9999999999999;7,105427357601E-15;1,69176841847643E-16;-41,9999999999999
-41,8999999999999;7,105427357601E-15;1,69580605193342E-16;-41,8999999999999
-41,7999999999999;3,5527136788005E-14;8,49931502105386E-16;-41,7999999999998
-41,6999999999999;1,4210854715202E-14;3,40787882858562E-16;-41,6999999999999
-41,5999999999999;2,1316282072803E-14;5,12410626750074E-16;-41,5999999999999
-41,4999999999999;2,8421709430404E-14;6,84860468202509E-16;-41,4999999999999
-41,3999999999999;2,1316282072803E-14;5,14886040405871E-16;-41,3999999999999
-41,2999999999999;7,105427357601E-15;1,72044245946756E-16;-41,2999999999999
-41,1999999999999;7,105427357601E-15;1,72461829067986E-16;-41,1999999999999
-41,0999999999999;7,105427357601E-15;1,72881444223869E-16;-41,0999999999999
-40,9999999999999;0;0;-40,9999999999999
-40,8999999999999;1,4210854715202E-14;3,47453660518388E-16;-40,8999999999999
-40,7999999999999;3,5527136788005E-14;8,70763156568754E-16;-40,7999999999998
-40,6999999999999;1,4210854715202E-14;3,49161049513564E-16;-40,6999999999999
-40,5999999999999;1,4210854715202E-14;3,50021052098573E-16;-40,5999999999999
-40,4999999999999;2,8421709430404E-14;7,01770603219855E-16;-40,4999999999998
-40,3999999999999;2,1316282072803E-14;5,27630744376314E-16;-40,3999999999998
-40,2999999999999;7,105427357601E-15;1,76313333935509E-16;-40,2999999999999
-40,1999999999999;7,105427357601E-15;1,76751924318434E-16;-40,1999999999999
-40,0999999999999;3,5527136788005E-14;8,85963510922822E-16;-40,0999999999998
-39,9999999999999;1,4210854715202E-14;3,55271367880051E-16;-39,9999999999998
-39,8999999999999;2,8421709430404E-14;7,12323544621657E-16;-39,8999999999998
-39,7999999999999;2,1316282072803E-14;5,35584976703595E-16;-39,7999999999998
-39,6999999999999;0;0;-39,6999999999999
-39,5999999999999;1,4210854715202E-14;3,58859967555608E-16;-39,5999999999998
-39,4999999999999;2,1316282072803E-14;5,39652710703876E-16;-39,4999999999998
-39,3999999999998;1,4210854715202E-14;3,60681591756398E-16;-39,3999999999998
-39,2999999999998;7,105427357601E-15;1,80799678310459E-16;-39,2999999999999
-39,1999999999998;7,105427357601E-15;1,81260901979618E-16;-39,1999999999999
-39,0999999999998;1,4210854715202E-14;3,63448969698263E-16;-39,0999999999998
-38,9999999999998;7,105427357601E-15;1,82190445066693E-16;-38,9999999999998
-38,8999999999998;1,4210854715202E-14;3,65317601933215E-16;-38,8999999999998
-38,7999999999998;1,4210854715202E-14;3,66259142144383E-16;-38,7999999999999
-38,6999999999998;2,8421709430404E-14;7,34411096392872E-16;-38,6999999999998
-38,5999999999998;0;0;-38,5999999999998
-38,4999999999998;2,8421709430404E-14;7,38226218971536E-16;-38,4999999999998
-38,3999999999998;0;0;-38,3999999999998
-38,2999999999998;1,4210854715202E-14;3,71040593086216E-16;-38,2999999999998
-38,1999999999998;2,8421709430404E-14;7,44023807078643E-16;-38,1999999999998
-38,0999999999998;2,8421709430404E-14;7,45976625469925E-16;-38,0999999999998
-37,9999999999998;2,8421709430404E-14;7,47939721852741E-16;-37,9999999999998
-37,8999999999998;7,105427357601E-15;1,87478294395806E-16;-37,8999999999998
-37,7999999999998;2,1316282072803E-14;5,63922806158813E-16;-37,7999999999998
-37,6999999999998;1,4210854715202E-14;3,76945748413848E-16;-37,6999999999998
-37,5999999999998;1,4210854715202E-14;3,77948263702183E-16;-37,5999999999998
-37,4999999999998;7,105427357601E-15;1,89478062869361E-16;-37,4999999999998
-37,3999999999998;1,4210854715202E-14;3,7996937741182E-16;-37,3999999999998
-37,2999999999998;2,1316282072803E-14;5,71482093104641E-16;-37,2999999999998
-37,1999999999998;2,8421709430404E-14;7,64024447053876E-16;-37,1999999999998
-37,0999999999998;3,5527136788005E-14;9,57604765175343E-16;-37,0999999999998
-36,9999999999998;1,4210854715202E-14;3,84077154464921E-16;-36,9999999999998
-36,8999999999998;2,1316282072803E-14;5,77677020943174E-16;-36,8999999999998
-36,7999999999998;2,1316282072803E-14;5,79246795456607E-16;-36,7999999999998
-36,6999999999998;2,1316282072803E-14;5,8082512459954E-16;-36,6999999999998
-36,5999999999998;1,4210854715202E-14;3,88274718994592E-16;-36,5999999999998
-36,4999999999998;0;0;-36,4999999999998
-36,3999999999998;0;0;-36,3999999999998
-36,2999999999998;2,1316282072803E-14;5,87225401454632E-16;-36,2999999999998
-36,1999999999998;2,8421709430404E-14;7,85130094762547E-16;-36,1999999999998
-36,0999999999998;1,4210854715202E-14;3,93652485185653E-16;-36,0999999999998
-35,9999999999998;7,105427357601E-15;1,97372982155584E-16;-35,9999999999998
-35,8999999999998;1,4210854715202E-14;3,95845535242398E-16;-35,8999999999998
-35,7999999999998;2,1316282072803E-14;5,95426873541987E-16;-35,7999999999998
-35,6999999999998;1,4210854715202E-14;3,98063157288574E-16;-35,6999999999998
-35,5999999999998;7,105427357601E-15;1,99590656112389E-16;-35,5999999999998
-35,4999999999998;1,4210854715202E-14;4,00305766625411E-16;-35,4999999999998
-35,3999999999998;7,105427357601E-15;2,00718286937883E-16;-35,3999999999998
-35,2999999999998;7,105427357601E-15;2,01286893983032E-16;-35,2999999999998
-35,1999999999998;2,8421709430404E-14;8,07434927000119E-16;-35,1999999999998
-35,0999999999998;1,4210854715202E-14;4,04867655703763E-16;-35,0999999999998
-34,9999999999998;7,105427357601E-15;2,03012210217173E-16;-34,9999999999998
-34,8999999999998;2,1316282072803E-14;6,10781721283758E-16;-34,8999999999998
-34,7999999999998;1,4210854715202E-14;4,08357894115002E-16;-34,7999999999998
-34,6999999999998;2,8421709430404E-14;8,19069436034703E-16;-34,6999999999998
-34,5999999999998;0;0;-34,5999999999998
-34,4999999999998;1,4210854715202E-14;4,11908832324699E-16;-34,4999999999998
-34,3999999999998;2,1316282072803E-14;6,19659362581487E-16;-34,3999999999998
-34,2999999999998;1,4210854715202E-14;4,14310633096271E-16;-34,2999999999998
-34,1999999999998;2,1316282072803E-14;6,23283101543952E-16;-34,1999999999998
-34,0999999999998;0;0;-34,0999999999998
-33,9999999999998;1,4210854715202E-14;4,17966315153003E-16;-33,9999999999998
-33,8999999999998;7,105427357601E-15;2,09599627067878E-16;-33,8999999999998
-33,7999999999998;1,4210854715202E-14;4,20439488615447E-16;-33,7999999999998
-33,6999999999998;2,8421709430404E-14;8,43374167074309E-16;-33,6999999999997
-33,5999999999998;0;0;-33,5999999999998
-33,4999999999998;7,105427357601E-15;2,12102309182121E-16;-33,4999999999998
-33,3999999999998;0;0;-33,3999999999998
-33,2999999999998;7,105427357601E-15;2,13376196924957E-16;-33,2999999999998
-33,1999999999998;1,4210854715202E-14;4,2803779262657E-16;-33,1999999999997
-33,0999999999998;1,4210854715202E-14;4,29330958163205E-16;-33,0999999999998
-32,9999999999998;0;0;-32,9999999999998
-32,8999999999998;7,105427357601E-15;2,15970436401248E-16;-32,8999999999998
-32,7999999999998;1,4210854715202E-14;4,33257765707382E-16;-32,7999999999997
-32,6999999999998;1,4210854715202E-14;4,34582713003123E-16;-32,6999999999997
-32,5999999999998;2,1316282072803E-14;6,53873683214822E-16;-32,5999999999997
-32,4999999999998;7,105427357601E-15;2,18628534080033E-16;-32,4999999999997
-32,3999999999998;0;0;-32,3999999999998
-32,2999999999997;2,8421709430404E-14;8,79929084532639E-16;-32,2999999999997
-32,1999999999997;1,4210854715202E-14;4,41330891776463E-16;-32,1999999999998
-32,0999999999997;1,4210854715202E-14;4,42705754367667E-16;-32,0999999999998
-31,9999999999997;1,4210854715202E-14;4,44089209850066E-16;-31,9999999999998
-31,8999999999997;1,4210854715202E-14;4,45481339034549E-16;-31,8999999999997
-31,7999999999997;7,105427357601E-15;2,23441111874247E-16;-31,7999999999997
-31,6999999999997;1,4210854715202E-14;4,48291946851802E-16;-31,6999999999997
-31,5999999999997;7,105427357601E-15;2,24855296126616E-16;-31,5999999999997
-31,4999999999997;1,4210854715202E-14;4,51138244927052E-16;-31,4999999999997
-31,3999999999997;1,4210854715202E-14;4,52574990930004E-16;-31,3999999999998
-31,2999999999997;7,105427357601E-15;2,27010458709299E-16;-31,2999999999997
-31,1999999999997;2,8421709430404E-14;9,1095222533347E-16;-31,1999999999997
-31,0999999999997;1,4210854715202E-14;4,5694066608367E-16;-31,0999999999997
-30,9999999999997;2,8421709430404E-14;9,16829336464654E-16;-30,9999999999997
-30,8999999999997;1,4210854715202E-14;4,59898210847966E-16;-30,8999999999997
-30,7999999999997;7,105427357601E-15;2,30695693428606E-16;-30,7999999999997
-30,6999999999997;0;0;-30,6999999999997
-30,5999999999997;7,105427357601E-15;2,32203508418335E-16;-30,5999999999997
-30,4999999999997;7,105427357601E-15;2,32964831396756E-16;-30,4999999999997
-30,3999999999997;7,105427357601E-15;2,33731163078983E-16;-30,3999999999997
-30,2999999999997;7,105427357601E-15;2,34502553056141E-16;-30,2999999999997
-30,1999999999997;2,1316282072803E-14;7,05837154728583E-16;-30,1999999999997
-30,0999999999997;7,105427357601E-15;2,36060709554853E-16;-30,0999999999997
-29,9999999999997;7,105427357601E-15;2,36847578586702E-16;-29,9999999999997
-29,8999999999997;7,105427357601E-15;2,37639710956558E-16;-29,8999999999997
-29,7999999999997;7,105427357601E-15;2,38437159651043E-16;-29,7999999999997
-29,6999999999997;7,105427357601E-15;2,39239978370406E-16;-29,6999999999997
-29,5999999999997;0;0;-29,5999999999997
-29,4999999999997;2,1316282072803E-14;7,22585832976381E-16;-29,4999999999997
-29,3999999999997;2,1316282072803E-14;7,25043607918477E-16;-29,3999999999997
-29,2999999999997;0;0;-29,2999999999997
-29,1999999999997;1,4210854715202E-14;4,86673106685005E-16;-29,1999999999997
-29,0999999999997;2,1316282072803E-14;7,32518284288771E-16;-29,0999999999997
-28,9999999999997;2,1316282072803E-14;7,35044209407008E-16;-28,9999999999997
-28,8999999999997;1,4210854715202E-14;4,91725076650593E-16;-28,8999999999997
-28,7999999999997;2,1316282072803E-14;7,40148683083446E-16;-28,7999999999997
-28,6999999999997;1,4210854715202E-14;4,95151732237009E-16;-28,6999999999997
-28,5999999999997;7,105427357601E-15;2,48441516000038E-16;-28,5999999999997
-28,4999999999997;1,4210854715202E-14;4,98626481235164E-16;-28,4999999999997
-28,3999999999997;2,1316282072803E-14;7,5057331242265E-16;-28,3999999999997
-28,2999999999997;7,105427357601E-15;2,51075171646681E-16;-28,2999999999997
-28,1999999999997;0;0;-28,1999999999997
-28,0999999999997;0;0;-28,0999999999997
-27,9999999999997;0;0;-27,9999999999997
-27,8999999999997;7,105427357601E-15;2,54674815684627E-16;-27,8999999999997
-27,7999999999997;2,1316282072803E-14;7,66772736431772E-16;-27,7999999999997
-27,6999999999997;0;0;-27,6999999999997
-27,5999999999997;7,105427357601E-15;2,57443020202938E-16;-27,5999999999997
-27,4999999999997;1,4210854715202E-14;5,16758353280079E-16;-27,4999999999997
-27,3999999999997;7,105427357601E-15;2,59322166335806E-16;-27,3999999999997
-27,2999999999997;1,4210854715202E-14;5,20544128761985E-16;-27,2999999999997
-27,1999999999997;1,4210854715202E-14;5,22457893941256E-16;-27,1999999999997
-27,0999999999997;0;0;-27,0999999999997
-26,9999999999997;1,4210854715202E-14;5,26327952414895E-16;-26,9999999999997
-26,8999999999997;1,4210854715202E-14;5,28284561903427E-16;-26,8999999999997
-26,7999999999997;1,4210854715202E-14;5,30255772955305E-16;-26,7999999999997
-26,6999999999997;0;0;-26,6999999999997
-26,5999999999997;7,105427357601E-15;2,67121329233124E-16;-26,5999999999997
-26,4999999999997;1,4210854715202E-14;5,36258668498196E-16;-26,4999999999997
-26,3999999999997;7,105427357601E-15;2,69144975666708E-16;-26,3999999999997
-26,2999999999997;0;0;-26,2999999999997
-26,1999999999997;1,4210854715202E-14;5,42399034931382E-16;-26,1999999999996
-26,0999999999997;1,4210854715202E-14;5,44477192153341E-16;-26,0999999999996
-25,9999999999997;1,4210854715202E-14;5,46571335200084E-16;-25,9999999999996
-25,8999999999997;7,105427357601E-15;2,74340824617803E-16;-25,8999999999997
-25,7999999999997;7,105427357601E-15;2,75404161147329E-16;-25,7999999999996
-25,6999999999997;1,4210854715202E-14;5,52951545338607E-16;-25,6999999999996
-25,5999999999997;1,4210854715202E-14;5,55111512312586E-16;-25,5999999999996
-25,4999999999997;7,105427357601E-15;2,78644210102004E-16;-25,4999999999997
