angle; absoluteError; relativeError
-98;0;NaN
-96;0;NaN
-94;0;NaN
-92;0;NaN
-90;1,11022302462516E-16;1
-88;0;NaN
-86;5,55111512312578E-17;1
-84;0;NaN
-82;0;NaN
-80;3,46944695195361E-18;1
-78;1,11022302462516E-16;1
-76;0;NaN
-74;0;NaN
-72;0;NaN
-70;1,11022302462516E-16;1
-68;0;NaN
-66;0;NaN
-64;5,55111512312578E-17;1
-62;0;NaN
-60;0;NaN
-58;3,12250225675825E-17;1
-56;0;NaN
-54;1,11022302462516E-16;1
-52;0;NaN
-50;0;NaN
-48;0;NaN
-46;0;NaN
-44;0;NaN
-42;5,55111512312578E-17;1
-40;0;NaN
-38;0;NaN
-36;1,38777878078145E-17;1
-34;0;NaN
-32;0;NaN
-30;0;NaN
-28;0;NaN
-26;0;NaN
-24;1,11022302462516E-16;1
-22;0;NaN
-20;0;NaN
-18;1,11022302462516E-16;1
-16;0;NaN
-14;2,68882138776405E-17;1
-12;1,11022302462516E-16;1
-10;0;NaN
-8;0;NaN
-6;0;NaN
-4;0;NaN
-2;0;NaN
0;0;NaN
2;5,55111512312578E-17;1
4;1,11022302462516E-16;1
6;0;NaN
8;2,68882138776405E-17;1
10;0;NaN
12;1,11022302462516E-16;1
14;0;NaN
16;0;NaN
18;1,11022302462516E-16;1
20;0;NaN
22;0;NaN
24;5,55111512312578E-17;1
26;0;NaN
28;0;NaN
30;1,38777878078145E-17;1
32;0;NaN
34;0;NaN
36;0;NaN
38;0;NaN
40;1,11022302462516E-16;1
42;1,11022302462516E-16;1
44;0;NaN
46;0;NaN
48;0;NaN
50;0;NaN
52;2,42861286636753E-17;1
54;1,11022302462516E-16;1
56;0;NaN
58;5,55111512312578E-17;1
60;0;NaN
62;0;NaN
64;1,11022302462516E-16;1
66;0;NaN
68;5,55111512312578E-17;1
70;1,11022302462516E-16;1
72;0;NaN
74;3,46944695195361E-18;1
76;0;NaN
78;0;NaN
80;0;NaN
82;0;NaN
84;0;NaN
86;0;NaN
88;0;NaN
90;5,55111512312578E-17;1
92;0;NaN
94;0;NaN
96;1,38777878078145E-17;1
98;0;NaN
