x;absoluteError;relativeError;computation time (milliseconds)
-1,55508836352695;0;0;0
-1,539380400259;1,11022302462516E-16;1,11022302462516E-16;0
-1,52367243699105;1,11022302462516E-16;1,11022302462516E-16;0
-1,5079644737231;0;0;0
-1,49225651045515;0;0;0
-1,4765485471872;2,22044604925031E-16;2,22044604925031E-16;0
-1,46084058391925;0;0;0
-1,4451326206513;1,11022302462516E-16;1,11022302462516E-16;0
-1,42942465738336;0;0;0
-1,41371669411541;0;0;0
-1,39800873084746;1,11022302462516E-16;1,11022302462516E-16;0
-1,38230076757951;2,22044604925031E-16;2,22044604925031E-16;0
-1,36659280431156;0;0;0
-1,35088484104361;2,22044604925031E-16;2,22044604925031E-16;0
-1,33517687777566;0;0;0
-1,31946891450771;0;0;0
-1,30376095123976;0;0;0
-1,28805298797182;0;0;0
-1,27234502470387;0;0;0
-1,25663706143592;2,22044604925031E-16;2,22044604925031E-16;0
-1,24092909816797;2,22044604925031E-16;2,22044604925031E-16;0
-1,22522113490002;1,11022302462516E-16;1,11022302462516E-16;0
-1,20951317163207;1,11022302462516E-16;1,11022302462516E-16;0
-1,19380520836412;0;0;0
-1,17809724509617;0;0;0
-1,16238928182822;0;0;0
-1,14668131856027;2,22044604925031E-16;2,22044604925031E-16;0
-1,13097335529233;1,11022302462516E-16;1,11022302462516E-16;0
-1,11526539202438;0;0;0
-1,09955742875643;0;0;0
-1,08384946548848;0;0;0
-1,06814150222053;0;0;0
-1,05243353895258;2,22044604925031E-16;2,22044604925031E-16;0
-1,03672557568463;0;0;0
-1,02101761241668;0;0;0
-1,00530964914873;0;0;0
-0,989601685880785;2,22044604925031E-16;2,22044604925031E-16;0
-0,973893722612836;0;0;0
-0,958185759344887;1,11022302462516E-16;1,11022302462516E-16;0
-0,942477796076938;0;0;0
-0,926769832808989;2,22044604925031E-16;2,22044604925031E-16;0
-0,91106186954104;0;0;0
-0,895353906273091;2,22044604925031E-16;2,22044604925031E-16;0
-0,879645943005142;0;0;0
-0,863937979737193;0;0;0
-0,848230016469244;2,22044604925031E-16;2,22044604925031E-16;0
-0,832522053201295;2,22044604925031E-16;2,22044604925031E-16;0
-0,816814089933346;2,22044604925031E-16;2,22044604925031E-16;0
-0,801106126665397;2,22044604925031E-16;2,22044604925031E-16;0
-0,785398163397448;1,11022302462516E-16;1,11022302462516E-16;0
-0,769690200129499;1,11022302462516E-16;1,11022302462516E-16;0
-0,75398223686155;2,22044604925031E-16;2,22044604925031E-16;0
-0,738274273593601;1,11022302462516E-16;1,11022302462516E-16;0
-0,722566310325652;1,11022302462516E-16;1,11022302462516E-16;0
-0,706858347057703;0;0;0
-0,691150383789754;1,11022302462516E-16;1,11022302462516E-16;0
-0,675442420521805;0;0;0
-0,659734457253856;2,22044604925031E-16;2,22044604925031E-16;0
-0,644026493985908;2,22044604925031E-16;2,22044604925031E-16;0
-0,628318530717959;0;0;0
-0,61261056745001;2,22044604925031E-16;2,22044604925031E-16;0
-0,596902604182061;2,22044604925031E-16;2,22044604925031E-16;0
-0,581194640914112;0;0;0
-0,565486677646163;2,22044604925031E-16;2,22044604925031E-16;0
-0,549778714378214;4,44089209850063E-16;4,44089209850063E-16;0
-0,534070751110265;2,22044604925031E-16;2,22044604925031E-16;0
-0,518362787842316;1,11022302462516E-16;1,11022302462516E-16;0
-0,502654824574367;1,11022302462516E-16;1,11022302462516E-16;0
-0,486946861306418;1,11022302462516E-16;1,11022302462516E-16;0
-0,471238898038469;2,22044604925031E-16;2,22044604925031E-16;0
-0,45553093477052;0;0;0
-0,439822971502571;1,11022302462516E-16;1,11022302462516E-16;0
-0,424115008234622;0;0;0
-0,408407044966673;0;0;0
-0,392699081698724;2,22044604925031E-16;2,22044604925031E-16;0
-0,376991118430775;2,22044604925031E-16;2,22044604925031E-16;0
-0,361283155162826;0;0;0
-0,345575191894877;0;0;0
-0,329867228626928;2,22044604925031E-16;2,22044604925031E-16;0
-0,314159265358979;0;0;0
-0,29845130209103;2,22044604925031E-16;2,22044604925031E-16;0
-0,282743338823081;5,55111512312578E-16;5,55111512312578E-16;0
-0,267035375555132;2,22044604925031E-16;2,22044604925031E-16;0
-0,251327412287183;0;0;0
-0,235619449019234;5,55111512312578E-16;5,55111512312578E-16;0
-0,219911485751285;5,55111512312578E-16;5,55111512312578E-16;0
-0,204203522483337;4,44089209850063E-16;4,44089209850063E-16;0
-0,188495559215387;5,55111512312578E-16;5,55111512312578E-16;0
-0,172787595947439;3,33066907387547E-16;3,33066907387547E-16;0
-0,157079632679489;8,88178419700125E-16;8,88178419700125E-16;0
-0,141371669411541;6,66133814775094E-16;6,66133814775094E-16;0
